 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
69	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,2371540069580078
69	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,23444724082946777
69	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,2355334758758545

69	1	Chi2	10	0,6688102893890675	0,8032001324763768	0,643312101910828	0,7759909031838856	0,10979986190795898
69	2	Chi2	10	0,7379421221864951	0,8030966353070244	0,6560509554140127	0,7310753736192334	0,13230538368225098
69	3	Chi2	10	0,7115384615384616	0,7880486199662703	0,6580645161290323	0,7471666666666666	0,05051422119140625
69	4	Chi2	10	0,6746794871794872	0,7277775492575377	0,5935483870967742	0,713	0,05284261703491211
69	5	Chi2	10	0,6907051282051282	0,7946762782279627	0,5612903225806452	0,6219166666666667	0,05977773666381836
 
Log file store in ,/logs/log_Chi2_200_19,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
19	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,24452567100524902
19	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,25716447830200195
19	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,25214052200317383
19	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,260042667388916
19	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,2565302848815918

19	1	Chi2	200	0,7781350482315113	0,8515333105639561	0,6815286624203821	0,7755847953216374	0,13557147979736328
19	2	Chi2	200	0,7668810289389068	0,8591196530774884	0,554140127388535	0,71588693957115	0,11667251586914062
19	3	Chi2	200	0,8044871794871795	0,8819721525235489	0,7870967741935484	0,8436666666666667	0,09795308113098145
19	4	Chi2	200	0,7932692307692307	0,8675342437579696	0,7419354838709677	0,8103333333333333	0,0938863754272461
19	5	Chi2	200	0,7836538461538461	0,8787791534696228	0,832258064516129	0,8636666666666667	0,09688758850097656
 
Log file store in ,/logs/log_Chi2_200_42,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
42	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,25934696197509766
42	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,2460165023803711
42	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,25714802742004395
42	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,250929594039917
42	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,2574167251586914

42	1	Chi2	200	0,7781350482315113	0,8515333105639561	0,6815286624203821	0,7755847953216374	0,1105039119720459
42	2	Chi2	200	0,7668810289389068	0,8591196530774884	0,554140127388535	0,71588693957115	0,10599970817565918
42	3	Chi2	200	0,8044871794871795	0,8819721525235489	0,7870967741935484	0,8436666666666667	0,07967591285705566
42	4	Chi2	200	0,7932692307692307	0,8675342437579696	0,7419354838709677	0,8103333333333333	0,08625602722167969
42	5	Chi2	200	0,7836538461538461	0,8787791534696228	0,832258064516129	0,8636666666666667	0,0824735164642334
 
Log file store in ,/logs/log_Chi2_200_69,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
69	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,24977660179138184
69	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,23198533058166504
69	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,2533080577850342
69	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,2500574588775635
69	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,25651097297668457

69	1	Chi2	200	0,7781350482315113	0,8515333105639561	0,6815286624203821	0,7755847953216374	0,1253981590270996
69	2	Chi2	200	0,7668810289389068	0,8591196530774884	0,554140127388535	0,71588693957115	0,1459815502166748
69	3	Chi2	200	0,8044871794871795	0,8819721525235489	0,7870967741935484	0,8436666666666667	0,07659721374511719
69	4	Chi2	200	0,7932692307692307	0,8675342437579696	0,7419354838709677	0,8103333333333333	0,08025240898132324
69	5	Chi2	200	0,7836538461538461	0,8787791534696228	0,832258064516129	0,8636666666666667	0,07246065139770508
 
Log file store in ,/logs/log_Chi2_20_19,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
19	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,2566688060760498
19	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,24869322776794434
19	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,256397008895874
19	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,25420618057250977
19	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,25347328186035156

19	1	Chi2	20	0,7845659163987139	0,8333385081918009	0,6942675159235668	0,7833008447043535	0,11713719367980957
19	2	Chi2	20	0,7668810289389068	0,8214259839993376	0,643312101910828	0,7210851202079271	0,13211870193481445
19	3	Chi2	20	0,7339743589743589	0,7930360742050924	0,6903225806451613	0,7471666666666666	0,07732224464416504
19	4	Chi2	20	0,6762820512820513	0,7564271317510591	0,5935483870967742	0,7145833333333333	0,07719779014587402
19	5	Chi2	20	0,6907051282051282	0,8117004648101682	0,5741935483870968	0,65	0,07963967323303223
 
Log file store in ,/logs/log_Chi2_20_42,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
42	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,2541797161102295
42	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,23429298400878906
42	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,24787282943725586
42	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,256056547164917
42	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,25899481773376465

42	1	Chi2	20	0,7845659163987139	0,8333385081918009	0,6942675159235668	0,7833008447043535	0,1191706657409668
42	2	Chi2	20	0,7668810289389068	0,8214259839993376	0,643312101910828	0,7210851202079271	0,1614844799041748
42	3	Chi2	20	0,7339743589743589	0,7930360742050924	0,6903225806451613	0,7471666666666666	0,10125422477722168
42	4	Chi2	20	0,6762820512820513	0,7564271317510591	0,5935483870967742	0,7145833333333333	0,07036304473876953
42	5	Chi2	20	0,6907051282051282	0,8117004648101682	0,5741935483870968	0,65	0,06569218635559082
 
Log file store in ,/logs/log_Chi2_20_69,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
69	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,24371814727783203
69	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,2335186004638672
